case_id,district,household_size,age_band,language_preference,tenure,opened_date,status,closure_month,monthly_award,payment_adjustments,contact_attempts,months_since_review
C-30832,Weybridge,4,18-29,English,No fixed abode,2021-06-27,Active,,861.65,0,3,19
C-30833,Ash Hill,4,18-29,English,Private tenancy,2025-06-30,Active,,1000.87,2,3,9
C-30834,Calder Central,2,60-74,English,No fixed abode,2021-07-11,Active,,592.28,0,3,11
C-30835,Weybridge,3,75+,English,Private tenancy,2024-11-18,Active,,663.25,1,6,3
C-30836,Northgate,3,18-29,Spanish,Owner-occupier,2024-05-13,Active,,1055.1,3,1,10
C-30837,Weybridge,2,75+,English,No fixed abode,2025-08-05,Active,,880.45,0,2,7
C-30838,Northgate,1,75+,English,Owner-occupier,2021-06-30,Active,,637.53,1,0,2
C-30839,Ash Hill,3,18-29,English,Social tenancy,2023-02-19,Active,,1138.04,0,3,0
C-30840,Calder Central,1,75+,English,Owner-occupier,2024-04-12,Active,,442.27,1,2,19
C-30841,Northgate,1,30-44,English,Resident with family,2022-09-14,Active,,563.67,0,2,5
C-30842,Weybridge,2,75+,English,Social tenancy,2023-03-16,Active,,941.53,0,3,14
C-30843,Northgate,4,45-59,English,No fixed abode,2022-08-27,Active,,1233.42,1,0,23
C-30844,Weybridge,2,30-44,English,Resident with family,2022-06-21,Active,,858.81,1,0,12
C-30845,Weybridge,3,30-44,English,Social tenancy,2023-08-03,Active,,886.62,2,0,2
C-30846,Northgate,2,30-44,English,No fixed abode,2022-03-01,Active,,932.35,1,1,8
C-30847,Weybridge,1,60-74,Other,Resident with family,2025-08-14,Active,,768.51,0,3,22
C-30848,Calder Central,5,60-74,English,Owner-occupier,2025-05-02,Active,,1486.67,0,0,5
C-30849,Northgate,2,75+,English,Social tenancy,2023-09-23,Active,,644.28,1,3,8
C-30850,Ash Hill,1,18-29,English,Resident with family,2022-10-23,Suspended,,422.78,0,0,14
C-30851,Northgate,1,75+,Spanish,Resident with family,2021-10-03,Active,,649.44,4,6,4
C-30852,Northgate,3,60-74,English,Resident with family,2025-07-22,Active,,749.96,2,0,17
C-30853,Calder Central,3,30-44,English,Social tenancy,2021-04-22,Active,,745.81,1,1,15
C-30854,Calder Central,2,75+,English,Private tenancy,2023-09-18,Active,,975.91,0,1,2
C-30855,Ash Hill,3,18-29,English,No fixed abode,2021-01-05,Active,,1058.04,0,1,16
C-30856,Weybridge,2,75+,English,Private tenancy,2025-01-31,Closed,2025-11,721.04,1,2,2
C-30857,Ash Hill,5,60-74,English,Resident with family,2023-01-02,Active,,1082.8,3,2,5
C-30858,Calder Central,2,30-44,English,Owner-occupier,2021-01-24,Active,,701.12,0,2,19
C-30859,Calder Central,1,18-29,English,Social tenancy,2023-03-28,Active,,556.9,1,3,4
C-30860,Northgate,4,45-59,English,Private tenancy,2025-01-18,Active,,870.83,1,1,18
C-30861,Northgate,1,30-44,English,Resident with family,2021-06-01,Active,,741.89,0,2,2
C-30862,Calder Central,5,30-44,Spanish,No fixed abode,2022-09-27,Closed,2025-11,953.36,2,5,12
C-30863,Ash Hill,1,18-29,English,Social tenancy,2023-10-21,Suspended,,686.32,0,2,0
C-30864,Weybridge,3,60-74,English,Private tenancy,2021-04-11,Active,,654.37,2,3,18
C-30865,Calder Central,1,30-44,English,No fixed abode,2023-11-19,Active,,625.18,1,3,23
C-30866,Weybridge,1,45-59,English,Private tenancy,2023-07-11,Active,,671.05,1,1,16
C-30867,Weybridge,2,60-74,English,Resident with family,2024-11-21,Active,,734.58,1,0,9
C-30868,Calder Central,3,45-59,English,Social tenancy,2024-02-20,Active,,1222.73,2,3,4
C-30869,Weybridge,3,60-74,English,Resident with family,2024-04-13,Suspended,,915.22,1,2,1
C-30870,Calder Central,4,60-74,Other,Owner-occupier,2023-03-05,Active,,1391.68,2,3,2
C-30871,Weybridge,1,60-74,Spanish,Social tenancy,2021-09-03,Active,,707.86,2,4,17
C-30872,Northgate,4,75+,English,Owner-occupier,2024-02-29,Active,,1221.57,1,2,4
C-30873,Northgate,4,18-29,English,Resident with family,2022-09-28,Active,,792.89,0,1,17
C-30874,Northgate,1,75+,English,Owner-occupier,2025-04-05,Closed,2025-10,439.0,1,2,18
C-30875,Ash Hill,3,75+,English,Social tenancy,2022-08-14,Active,,1003.51,0,0,7
C-30876,Calder Central,4,60-74,English,Owner-occupier,2023-09-21,Active,,1123.78,0,2,0
C-30877,Calder Central,2,75+,English,Owner-occupier,2022-12-18,Active,,1026.05,0,0,7
C-30878,Calder Central,5,18-29,English,Social tenancy,2025-03-10,Active,,1027.21,1,2,8
C-30879,Ash Hill,4,60-74,English,Resident with family,2024-09-18,Active,,1160.32,0,0,5
C-30880,Calder Central,5,18-29,English,Resident with family,2024-01-31,Active,,1617.63,1,2,3
C-30881,Ash Hill,3,30-44,English,Owner-occupier,2021-08-13,Active,,935.83,0,1,11
C-30882,Ash Hill,1,45-59,English,Private tenancy,2021-07-09,Active,,486.47,0,2,13
C-30883,Weybridge,1,60-74,English,No fixed abode,2025-08-08,Active,,755.15,0,2,15
C-30884,Weybridge,1,60-74,English,Social tenancy,2021-06-12,Active,,456.05,3,2,16
C-30885,Calder Central,2,30-44,Spanish,Resident with family,2024-03-21,Active,,592.31,1,3,5
C-30886,Weybridge,2,18-29,English,Private tenancy,2023-04-22,Closed,2025-11,554.21,0,0,18
C-30887,Northgate,4,60-74,English,Private tenancy,2022-02-08,Closed,2025-10,1397.64,0,4,10
C-30888,Calder Central,1,75+,English,Social tenancy,2022-05-25,Active,,503.25,0,1,6
C-30889,Ash Hill,2,60-74,English,Owner-occupier,2025-03-26,Active,,997.77,2,0,8
C-30890,Northgate,1,30-44,English,Social tenancy,2021-10-03,Active,,518.98,1,0,6
C-30891,Calder Central,6,18-29,English,Private tenancy,2024-01-11,Active,,1475.31,0,4,16
C-30892,Calder Central,1,75+,English,Resident with family,2023-08-17,Active,,493.8,1,0,10
C-30893,Weybridge,1,18-29,Spanish,No fixed abode,2025-05-16,Closed,2025-09,397.67,2,5,11
C-30894,Weybridge,2,30-44,Spanish,Social tenancy,2021-09-11,Active,,802.87,2,3,14
C-30895,Northgate,1,60-74,English,Social tenancy,2025-04-21,Active,,483.86,2,4,10
C-30896,Weybridge,1,75+,English,Private tenancy,2024-02-12,Active,,659.1,0,4,4
C-30897,Ash Hill,3,18-29,Spanish,Private tenancy,2022-02-08,Suspended,,846.62,1,3,22
C-30898,Ash Hill,2,30-44,English,No fixed abode,2022-06-03,Active,,939.79,3,1,14
C-30899,Northgate,5,30-44,English,Social tenancy,2023-04-24,Active,,1285.84,1,0,4
C-30900,Weybridge,1,18-29,English,No fixed abode,2021-11-09,Active,,756.43,0,3,8
C-30901,Ash Hill,4,45-59,English,Private tenancy,2023-08-01,Active,,764.81,1,2,17
C-30902,Calder Central,1,45-59,Other,Owner-occupier,2021-07-08,Active,,667.67,2,4,19
C-30903,Calder Central,1,60-74,English,Resident with family,2021-03-22,Active,,592.73,1,2,19
C-30904,Calder Central,4,75+,Spanish,No fixed abode,2025-04-29,Active,,1021.15,3,4,15
C-30905,Weybridge,2,45-59,English,Social tenancy,2025-02-28,Active,,873.3,0,2,12
C-30906,Ash Hill,2,45-59,English,Social tenancy,2023-05-06,Active,,529.23,0,1,21
C-30907,Weybridge,2,45-59,Spanish,No fixed abode,2022-11-05,Active,,737.15,2,3,14
C-30908,Weybridge,3,45-59,English,Resident with family,2025-04-25,Active,,1180.85,0,2,17
C-30909,Weybridge,1,75+,Other,Resident with family,2024-07-20,Suspended,,528.81,2,3,22
C-30910,Northgate,2,45-59,English,Social tenancy,2023-02-19,Active,,924.35,1,0,9
C-30911,Calder Central,2,30-44,English,Private tenancy,2024-11-26,Active,,947.4,0,1,1
C-30912,Northgate,2,75+,English,Social tenancy,2022-03-25,Active,,748.86,1,1,16
C-30913,Calder Central,4,18-29,English,No fixed abode,2024-01-05,Active,,813.98,0,2,13
C-30914,Calder Central,3,75+,English,Owner-occupier,2021-05-14,Active,,1158.77,0,2,16
C-30915,Calder Central,3,18-29,English,Private tenancy,2023-07-04,Active,,1054.8,0,3,9
C-30916,Ash Hill,2,45-59,English,Owner-occupier,2021-06-06,Active,,1007.71,0,1,8
C-30917,Calder Central,1,45-59,English,No fixed abode,2022-10-02,Active,,597.11,0,5,14
C-30918,Northgate,1,45-59,English,Social tenancy,2024-12-02,Active,,740.06,0,2,6
C-30919,Ash Hill,6,60-74,Spanish,Resident with family,2023-01-28,Active,,1197.82,0,6,1
C-30920,Calder Central,5,18-29,Spanish,No fixed abode,2021-07-14,Active,,1197.52,2,5,14
C-30921,Weybridge,2,75+,English,Owner-occupier,2024-06-23,Active,,534.32,1,2,19
C-30922,Calder Central,1,75+,English,Owner-occupier,2025-05-06,Active,,691.72,1,2,5
C-30923,Northgate,1,60-74,English,Private tenancy,2025-02-07,Active,,410.88,0,3,2
C-30924,Calder Central,2,75+,English,No fixed abode,2025-08-27,Active,,1001.51,0,1,11
C-30925,Northgate,2,45-59,Other,Social tenancy,2022-04-09,Active,,614.71,2,3,10
C-30926,Northgate,2,60-74,English,Private tenancy,2022-01-18,Active,,580.53,0,3,8
C-30927,Calder Central,2,60-74,Spanish,Resident with family,2025-07-19,Active,,629.4,0,5,11
C-30928,Ash Hill,1,45-59,English,Resident with family,2024-03-02,Active,,382.22,0,2,8
C-30929,Ash Hill,1,75+,Other,Private tenancy,2024-04-13,Active,,613.54,1,3,14
C-30930,Ash Hill,2,30-44,English,Owner-occupier,2023-08-28,Active,,706.52,1,4,18
C-30931,Weybridge,1,30-44,English,Owner-occupier,2023-09-06,Active,,632.1,0,0,7
C-30932,Weybridge,1,75+,English,Owner-occupier,2022-05-19,Active,,765.7,0,1,16
C-30933,Weybridge,1,45-59,English,Owner-occupier,2022-04-16,Active,,638.32,1,3,10
C-30934,Northgate,2,18-29,English,No fixed abode,2022-06-23,Active,,927.2,0,5,6
C-30935,Calder Central,1,30-44,English,Private tenancy,2021-06-21,Active,,579.28,1,4,1
C-30936,Calder Central,1,30-44,English,Social tenancy,2024-09-01,Active,,466.78,1,2,23
C-30937,Calder Central,5,75+,English,Resident with family,2024-08-18,Active,,1334.44,0,2,2
C-30938,Northgate,2,60-74,English,Resident with family,2024-10-24,Active,,578.63,1,1,12
C-30939,Ash Hill,5,30-44,English,Resident with family,2023-04-14,Active,,1455.26,0,5,21
C-30940,Ash Hill,1,60-74,English,Private tenancy,2023-11-03,Suspended,,391.76,0,1,20
C-30941,Northgate,1,30-44,English,Social tenancy,2024-02-06,Active,,453.84,0,4,15
C-30942,Calder Central,2,45-59,English,Resident with family,2023-08-10,Active,,882.26,0,1,22
C-30943,Northgate,2,30-44,English,Social tenancy,2021-02-15,Active,,898.07,1,3,20
C-30944,Calder Central,5,18-29,Other,Resident with family,2021-10-11,Active,,1162.91,2,4,21
C-30945,Calder Central,1,30-44,Other,No fixed abode,2024-11-18,Closed,2025-09,534.47,5,6,4
C-30946,Weybridge,2,45-59,English,Social tenancy,2024-02-22,Active,,609.59,3,0,19
C-30947,Weybridge,2,30-44,English,Social tenancy,2023-12-24,Active,,589.5,0,3,11
C-30948,Ash Hill,1,18-29,English,No fixed abode,2021-07-19,Active,,700.95,0,0,11
C-30949,Northgate,1,60-74,English,No fixed abode,2022-06-27,Active,,426.04,0,0,16
C-30950,Ash Hill,1,45-59,English,Social tenancy,2022-12-25,Closed,2025-10,571.96,0,0,6
C-30951,Ash Hill,3,45-59,English,Social tenancy,2024-07-14,Active,,950.13,1,2,19
C-30952,Ash Hill,1,45-59,Other,Resident with family,2025-05-26,Active,,576.19,0,3,9
C-30953,Weybridge,3,18-29,Other,Owner-occupier,2023-07-15,Closed,2025-08,779.7,3,7,15
C-30954,Ash Hill,3,60-74,English,Social tenancy,2025-08-04,Active,,834.54,1,2,3
C-30955,Calder Central,2,30-44,English,Resident with family,2022-01-29,Active,,717.01,4,2,6
C-30956,Calder Central,1,45-59,Spanish,Owner-occupier,2023-09-16,Active,,443.14,2,4,19
C-30957,Calder Central,2,18-29,English,Private tenancy,2021-11-14,Active,,824.92,2,4,19
C-30958,Weybridge,1,45-59,English,Private tenancy,2022-12-05,Active,,446.81,0,3,1
C-30959,Calder Central,3,75+,English,No fixed abode,2023-08-27,Active,,1170.69,0,3,5
C-30960,Ash Hill,3,30-44,English,Resident with family,2021-08-29,Active,,740.75,1,1,17
C-30961,Northgate,5,30-44,English,Resident with family,2024-05-11,Active,,1511.69,0,0,20
C-30962,Calder Central,2,18-29,Spanish,No fixed abode,2024-09-10,Active,,864.16,1,5,5
C-30963,Northgate,4,60-74,English,Owner-occupier,2024-09-02,Active,,802.7,1,1,21
C-30964,Calder Central,1,60-74,English,Resident with family,2023-11-09,Active,,402.8,1,1,6
C-30965,Weybridge,2,30-44,English,Owner-occupier,2023-09-15,Active,,940.27,2,2,15
C-30966,Ash Hill,2,30-44,English,Resident with family,2023-12-12,Closed,2025-07,536.23,1,4,9
C-30967,Ash Hill,3,30-44,English,No fixed abode,2024-01-05,Suspended,,1214.25,1,2,0
C-30968,Calder Central,1,18-29,English,Social tenancy,2022-03-05,Active,,464.28,0,0,22
C-30969,Ash Hill,4,18-29,Other,Private tenancy,2024-10-19,Active,,1356.21,1,3,7
C-30970,Calder Central,2,45-59,English,Resident with family,2022-02-06,Active,,849.88,1,1,13
C-30971,Calder Central,1,18-29,English,Owner-occupier,2024-12-05,Active,,396.55,1,0,19
C-30972,Calder Central,2,75+,English,Owner-occupier,2024-05-18,Active,,763.1,2,0,2
C-30973,Northgate,2,45-59,English,No fixed abode,2021-02-11,Active,,543.03,0,4,23
C-30974,Weybridge,3,75+,Other,Resident with family,2021-12-31,Closed,2025-08,1148.2,2,7,0
C-30975,Northgate,5,30-44,English,Social tenancy,2021-08-20,Active,,857.17,0,1,12
C-30976,Calder Central,3,60-74,English,No fixed abode,2021-07-07,Active,,761.39,0,3,13
C-30977,Northgate,2,75+,English,Resident with family,2024-03-20,Active,,841.86,0,1,20
C-30978,Ash Hill,2,45-59,English,Private tenancy,2023-10-13,Active,,563.62,0,1,3
C-30979,Calder Central,1,18-29,English,Owner-occupier,2023-01-14,Closed,2025-08,377.95,2,3,18
C-30980,Weybridge,2,75+,Other,Resident with family,2024-06-27,Active,,811.09,2,4,7
C-30981,Calder Central,3,18-29,English,No fixed abode,2021-12-12,Active,,848.45,2,1,0
C-30982,Ash Hill,1,60-74,English,Private tenancy,2022-06-14,Closed,2025-08,491.76,0,4,3
C-30983,Northgate,1,18-29,English,No fixed abode,2022-05-01,Active,,544.9,2,1,4
C-30984,Calder Central,1,45-59,English,No fixed abode,2024-08-24,Active,,743.49,0,0,23
C-30985,Weybridge,3,60-74,English,Social tenancy,2025-08-11,Active,,695.44,3,2,3
C-30986,Calder Central,1,18-29,Spanish,Resident with family,2025-04-28,Active,,550.66,2,5,4
C-30987,Northgate,1,45-59,English,No fixed abode,2025-04-01,Active,,591.08,0,2,20
C-30988,Ash Hill,1,45-59,English,Private tenancy,2024-01-02,Active,,691.77,1,0,6
C-30989,Ash Hill,1,60-74,Other,Owner-occupier,2024-08-20,Active,,490.23,0,4,13
C-30990,Calder Central,3,30-44,English,Social tenancy,2022-05-16,Active,,870.52,0,0,17
C-30991,Ash Hill,5,60-74,English,No fixed abode,2025-08-14,Active,,919.22,0,2,22
C-30992,Northgate,2,60-74,English,Owner-occupier,2023-02-06,Active,,539.76,1,2,14
C-30993,Northgate,6,18-29,English,Private tenancy,2024-05-29,Closed,2025-11,1141.12,1,1,16
C-30994,Weybridge,2,60-74,Other,Private tenancy,2025-03-25,Active,,525.92,1,6,4
C-30995,Northgate,1,60-74,Other,Owner-occupier,2021-09-21,Active,,507.85,3,4,15
C-30996,Weybridge,3,30-44,Spanish,No fixed abode,2021-08-29,Active,,1012.54,0,6,9
C-30997,Ash Hill,5,45-59,English,Resident with family,2025-01-07,Active,,915.18,1,5,11
C-30998,Calder Central,3,60-74,Spanish,Social tenancy,2024-06-13,Active,,1019.7,1,4,8
C-30999,Northgate,1,30-44,English,Private tenancy,2024-04-03,Active,,585.97,1,2,20
C-31000,Weybridge,1,45-59,English,Social tenancy,2025-08-13,Active,,532.96,0,3,14
C-31001,Calder Central,4,18-29,English,Owner-occupier,2023-05-02,Active,,1170.52,2,4,8
C-31002,Weybridge,2,45-59,English,No fixed abode,2021-07-30,Active,,623.35,2,1,12
C-31003,Northgate,4,60-74,English,Resident with family,2024-06-20,Active,,715.41,3,2,22
C-31004,Calder Central,3,45-59,English,Private tenancy,2023-03-08,Active,,612.61,0,2,11
C-31005,Weybridge,1,30-44,Other,Resident with family,2022-10-27,Active,,481.78,1,4,11
C-31006,Weybridge,1,45-59,English,No fixed abode,2024-02-08,Active,,658.32,1,1,8
C-31007,Northgate,4,45-59,English,Owner-occupier,2024-04-20,Active,,862.41,0,2,16
C-31008,Weybridge,1,45-59,English,Resident with family,2025-03-23,Active,,376.61,1,2,7
C-31009,Northgate,1,75+,English,Private tenancy,2022-02-15,Active,,542.13,0,2,12
C-31010,Calder Central,2,45-59,Other,Social tenancy,2024-03-22,Active,,821.8,1,2,22
C-31011,Weybridge,5,30-44,Spanish,Owner-occupier,2023-03-21,Active,,1511.99,1,3,17
C-31012,Calder Central,3,60-74,Other,Private tenancy,2023-01-16,Active,,1054.74,1,5,3
C-31013,Calder Central,2,45-59,English,No fixed abode,2022-09-21,Active,,655.1,2,2,20
C-31014,Weybridge,3,18-29,Other,Owner-occupier,2022-11-01,Active,,939.33,1,4,10
C-31015,Weybridge,2,60-74,English,No fixed abode,2025-01-29,Active,,961.43,1,2,5
C-31016,Northgate,5,75+,Spanish,No fixed abode,2022-04-15,Active,,1415.74,1,4,1
C-31017,Ash Hill,1,18-29,English,Owner-occupier,2024-08-24,Active,,657.7,0,3,9
C-31018,Calder Central,4,60-74,English,Social tenancy,2021-03-04,Active,,911.88,2,0,18
C-31019,Weybridge,1,75+,English,Social tenancy,2021-08-21,Suspended,,499.5,0,3,8
C-31020,Northgate,1,45-59,English,Social tenancy,2023-12-21,Closed,2025-10,456.17,3,4,17
C-31021,Ash Hill,1,60-74,English,Private tenancy,2025-03-04,Active,,480.38,0,2,4
C-31022,Calder Central,2,30-44,Other,Owner-occupier,2023-06-18,Active,,510.39,4,3,19
C-31023,Weybridge,1,30-44,English,Private tenancy,2023-05-07,Active,,491.26,0,5,15
C-31024,Weybridge,2,45-59,English,Resident with family,2023-06-07,Active,,718.75,0,2,19
C-31025,Calder Central,4,75+,English,Owner-occupier,2023-05-25,Active,,1121.88,2,3,7
C-31026,Northgate,1,45-59,English,Social tenancy,2021-11-07,Active,,550.39,0,1,12
C-31027,Northgate,5,75+,English,Private tenancy,2022-02-08,Active,,1106.94,0,3,4
C-31028,Ash Hill,1,30-44,Spanish,Private tenancy,2022-05-12,Active,,597.08,3,5,11
C-31029,Northgate,2,45-59,English,Private tenancy,2023-08-07,Active,,986.44,0,0,16
C-31030,Calder Central,1,60-74,English,Resident with family,2025-08-18,Active,,546.0,1,5,12
C-31031,Calder Central,1,30-44,English,Resident with family,2023-01-21,Active,,452.65,1,1,16
C-31032,Calder Central,1,45-59,English,Social tenancy,2022-10-07,Active,,763.83,2,2,5
C-31033,Ash Hill,1,18-29,Spanish,Private tenancy,2021-11-05,Active,,652.5,0,3,12
C-31034,Calder Central,1,45-59,English,No fixed abode,2025-03-21,Closed,2025-12,523.82,2,2,5
C-31035,Weybridge,2,30-44,Spanish,Social tenancy,2022-12-17,Active,,986.66,3,6,21
C-31036,Northgate,1,45-59,Other,No fixed abode,2023-04-25,Active,,529.94,3,4,7
C-31037,Calder Central,1,30-44,English,Social tenancy,2021-12-04,Active,,379.96,0,2,8
C-31038,Calder Central,2,30-44,English,Social tenancy,2022-11-20,Active,,659.77,0,2,8
C-31039,Northgate,2,30-44,English,Private tenancy,2023-12-30,Active,,645.68,1,4,3
C-31040,Northgate,3,30-44,English,Social tenancy,2023-11-13,Active,,934.89,0,5,10
C-31041,Weybridge,1,60-74,English,Private tenancy,2021-02-02,Active,,535.28,1,1,16
C-31042,Calder Central,1,18-29,English,Private tenancy,2024-05-08,Active,,669.38,0,2,19
C-31043,Northgate,1,45-59,English,No fixed abode,2023-11-18,Suspended,,749.78,1,0,3
C-31044,Calder Central,5,18-29,English,Resident with family,2021-11-11,Active,,803.86,1,1,18
C-31045,Northgate,1,45-59,Spanish,Resident with family,2022-07-18,Active,,632.33,1,5,16
C-31046,Calder Central,1,60-74,Other,No fixed abode,2024-07-05,Active,,480.5,2,4,21
C-31047,Weybridge,2,18-29,English,No fixed abode,2023-10-06,Active,,886.16,1,3,0
C-31048,Northgate,2,60-74,Other,No fixed abode,2025-02-03,Active,,766.87,1,5,0
C-31049,Ash Hill,2,30-44,English,No fixed abode,2021-10-31,Suspended,,688.7,0,1,15
C-31050,Northgate,1,30-44,English,No fixed abode,2022-02-11,Active,,394.09,0,1,1
C-31051,Calder Central,2,18-29,English,Private tenancy,2024-03-21,Active,,814.34,0,4,7
C-31052,Northgate,3,30-44,Spanish,No fixed abode,2023-11-10,Active,,745.32,3,2,7
C-31053,Northgate,1,60-74,English,Resident with family,2024-11-27,Active,,390.45,0,4,10
C-31054,Weybridge,1,30-44,English,Social tenancy,2023-07-03,Active,,677.52,1,1,8
C-31055,Northgate,5,30-44,English,Private tenancy,2023-03-05,Active,,925.65,1,0,8
C-31056,Calder Central,1,30-44,English,No fixed abode,2023-01-29,Active,,754.94,1,2,5
C-31057,Calder Central,1,60-74,English,Social tenancy,2022-04-29,Active,,583.8,1,2,11
C-31058,Northgate,1,18-29,Other,Private tenancy,2022-08-07,Active,,508.27,0,4,18
C-31059,Calder Central,3,45-59,English,Social tenancy,2023-07-12,Active,,1144.19,1,4,5
C-31060,Calder Central,3,30-44,Other,Resident with family,2023-12-04,Closed,2025-08,1130.59,3,5,4
C-31061,Calder Central,1,30-44,English,Social tenancy,2022-04-15,Active,,453.15,1,2,10
C-31062,Calder Central,4,45-59,English,No fixed abode,2021-12-06,Active,,1057.43,0,0,9
C-31063,Weybridge,1,18-29,English,Social tenancy,2022-11-13,Active,,510.36,0,0,6
C-31064,Calder Central,1,45-59,English,Owner-occupier,2022-03-02,Active,,656.64,0,1,0
C-31065,Calder Central,1,45-59,English,Private tenancy,2025-06-04,Active,,451.34,0,0,17
C-31066,Northgate,2,18-29,English,Private tenancy,2021-08-27,Active,,592.06,0,0,20
C-31067,Calder Central,5,30-44,English,Social tenancy,2022-02-15,Active,,1433.05,2,3,6
C-31068,Weybridge,1,60-74,English,No fixed abode,2022-10-22,Suspended,,659.43,1,0,20
C-31069,Weybridge,2,60-74,Spanish,Social tenancy,2021-04-20,Active,,677.39,1,7,11
C-31070,Ash Hill,4,30-44,English,Owner-occupier,2024-02-13,Active,,877.41,1,0,18
C-31071,Calder Central,4,45-59,Other,Private tenancy,2021-09-01,Active,,1307.81,2,4,8
C-31072,Calder Central,3,60-74,English,Private tenancy,2022-06-30,Suspended,,989.58,0,0,21
C-31073,Northgate,1,60-74,Spanish,Owner-occupier,2024-10-24,Active,,508.27,1,6,19
C-31074,Northgate,2,45-59,English,Resident with family,2024-05-14,Active,,713.28,1,0,15
C-31075,Ash Hill,2,75+,English,Resident with family,2021-04-21,Active,,508.68,0,0,12
C-31076,Northgate,3,45-59,English,Private tenancy,2025-08-16,Active,,1173.68,0,1,0
C-31077,Calder Central,2,30-44,English,No fixed abode,2024-12-03,Active,,822.23,0,2,11
C-31078,Weybridge,1,30-44,Other,No fixed abode,2023-09-21,Active,,606.01,1,6,6
C-31079,Calder Central,5,75+,English,Social tenancy,2025-04-13,Active,,805.98,1,3,13
C-31080,Weybridge,3,30-44,English,Owner-occupier,2023-10-20,Active,,1001.18,0,0,14
C-31081,Weybridge,1,30-44,English,Owner-occupier,2021-06-29,Active,,641.2,2,2,12
C-31082,Weybridge,3,45-59,English,Private tenancy,2023-08-19,Active,,645.4,0,2,22
C-31083,Calder Central,2,45-59,English,Social tenancy,2024-05-14,Active,,658.1,0,3,10
C-31084,Calder Central,1,30-44,Spanish,Resident with family,2022-04-02,Active,,668.41,4,4,10
C-31085,Northgate,4,45-59,English,Social tenancy,2024-04-04,Active,,806.2,1,2,9
C-31086,Northgate,2,18-29,English,Private tenancy,2023-06-21,Active,,1009.53,0,2,22
C-31087,Weybridge,3,30-44,English,Social tenancy,2023-06-12,Active,,889.28,1,2,11
C-31088,Calder Central,2,18-29,English,No fixed abode,2022-12-15,Active,,848.06,2,1,18
C-31089,Weybridge,2,45-59,Spanish,No fixed abode,2022-01-31,Active,,867.45,3,4,2
C-31090,Ash Hill,1,30-44,English,Social tenancy,2024-03-12,Active,,648.02,3,0,18
C-31091,Calder Central,1,45-59,Other,Resident with family,2021-11-01,Active,,429.23,2,1,19
C-31092,Calder Central,3,60-74,English,Private tenancy,2022-12-09,Active,,733.4,1,4,4
C-31093,Northgate,2,45-59,Other,Private tenancy,2022-10-10,Active,,888.81,2,4,5
C-31094,Calder Central,1,30-44,English,Private tenancy,2022-12-20,Active,,534.99,0,2,18
C-31095,Calder Central,2,30-44,English,Resident with family,2023-06-23,Active,,927.07,0,1,6
C-31096,Calder Central,3,30-44,Spanish,Owner-occupier,2024-12-15,Active,,1012.49,1,5,10
C-31097,Calder Central,1,30-44,English,No fixed abode,2022-09-22,Closed,2025-09,560.59,2,1,14
C-31098,Ash Hill,5,60-74,English,No fixed abode,2025-01-23,Active,,1015.22,0,4,7
C-31099,Calder Central,3,60-74,English,Owner-occupier,2025-03-05,Active,,903.98,3,4,20
C-31100,Calder Central,2,60-74,English,Owner-occupier,2022-12-10,Active,,710.59,1,3,7
C-31101,Calder Central,2,60-74,English,Private tenancy,2023-11-05,Active,,516.56,1,1,20
C-31102,Northgate,2,45-59,English,Owner-occupier,2025-08-21,Active,,651.66,0,4,3
C-31103,Calder Central,4,30-44,English,No fixed abode,2023-10-03,Active,,1273.96,0,3,10
C-31104,Calder Central,2,30-44,English,Social tenancy,2023-05-05,Suspended,,970.89,2,4,0
C-31105,Ash Hill,2,18-29,English,No fixed abode,2023-05-23,Active,,962.44,1,1,22
C-31106,Calder Central,2,30-44,Other,Owner-occupier,2021-08-31,Active,,938.67,3,4,19
C-31107,Weybridge,5,30-44,English,Owner-occupier,2023-06-24,Active,,1447.26,0,1,9
C-31108,Northgate,6,75+,English,Social tenancy,2021-01-13,Active,,1361.44,1,2,23
C-31109,Calder Central,1,60-74,English,Resident with family,2022-12-25,Active,,572.05,0,3,5
C-31110,Weybridge,1,45-59,Spanish,Social tenancy,2022-11-23,Active,,445.8,2,4,21
C-31111,Northgate,5,45-59,English,Private tenancy,2023-01-22,Active,,1189.43,0,3,1
C-31112,Ash Hill,4,75+,English,Private tenancy,2025-05-03,Active,,1026.64,1,2,10
C-31113,Weybridge,2,75+,English,Private tenancy,2023-08-02,Active,,644.1,1,2,5
C-31114,Ash Hill,1,30-44,English,No fixed abode,2023-04-10,Active,,503.08,1,2,17
C-31115,Northgate,1,45-59,English,No fixed abode,2024-03-31,Active,,438.87,0,3,21
C-31116,Ash Hill,1,45-59,English,Social tenancy,2023-09-22,Active,,723.96,0,1,20
C-31117,Northgate,1,45-59,English,Private tenancy,2024-04-30,Suspended,,540.49,1,3,7
C-31118,Northgate,5,45-59,Spanish,Private tenancy,2021-08-12,Closed,2025-07,1247.29,1,5,11
C-31119,Northgate,4,18-29,Spanish,Private tenancy,2021-05-20,Active,,1286.71,2,4,19
C-31120,Weybridge,1,45-59,Spanish,Resident with family,2024-12-17,Closed,2025-11,672.58,1,3,12
C-31121,Ash Hill,3,45-59,Other,Resident with family,2023-07-07,Active,,997.81,2,4,0
C-31122,Northgate,2,18-29,English,Private tenancy,2024-07-23,Active,,653.15,0,3,22
