case_id,risk_score,final_risk_score,payment_adjustments,contact_attempts,administrative_activity_flag,administrative_context,investigator_context
C-31002,12.4,12.4,2,1,0,,No strong administrative-activity warning detected.
C-30970,12.4,12.4,1,1,0,,No strong administrative-activity warning detected.
C-34160,12.39,12.39,0,1,0,,No strong administrative-activity warning detected.
C-33722,12.39,12.39,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31372,12.39,12.39,2,0,0,,No strong administrative-activity warning detected.
C-30664,12.39,12.39,1,1,0,,No strong administrative-activity warning detected.
C-32073,12.38,12.38,1,2,0,,No strong administrative-activity warning detected.
C-32072,12.38,12.38,1,1,0,,No strong administrative-activity warning detected.
C-31663,12.38,12.38,0,1,0,,No strong administrative-activity warning detected.
C-31921,12.38,12.38,1,2,0,,No strong administrative-activity warning detected.
C-31733,12.38,12.38,0,0,0,,No strong administrative-activity warning detected.
C-33720,12.38,12.38,2,4,0,,No strong administrative-activity warning detected.
C-32866,12.38,12.38,1,1,0,,No strong administrative-activity warning detected.
C-33774,12.38,12.38,1,2,0,,No strong administrative-activity warning detected.
C-31710,12.37,12.37,1,4,0,,No strong administrative-activity warning detected.
C-33734,12.37,12.37,0,2,0,,No strong administrative-activity warning detected.
C-33071,12.37,12.37,1,1,0,,No strong administrative-activity warning detected.
C-30278,12.36,12.36,1,1,0,,No strong administrative-activity warning detected.
C-34191,12.36,12.36,1,5,0,,No strong administrative-activity warning detected.
C-30973,12.36,12.36,0,4,0,,No strong administrative-activity warning detected.
C-31399,12.36,12.36,0,4,0,,No strong administrative-activity warning detected.
C-30804,12.36,12.36,1,2,0,,No strong administrative-activity warning detected.
C-30234,12.36,12.36,1,3,0,,No strong administrative-activity warning detected.
C-30766,12.36,12.36,0,0,0,,No strong administrative-activity warning detected.
C-31539,12.36,12.36,0,2,0,,No strong administrative-activity warning detected.
C-30746,12.36,12.36,0,1,0,,No strong administrative-activity warning detected.
C-33795,12.36,12.36,1,2,0,,No strong administrative-activity warning detected.
C-33345,12.36,12.36,0,2,0,,No strong administrative-activity warning detected.
C-33641,12.35,12.35,2,3,0,,No strong administrative-activity warning detected.
C-31272,12.35,12.35,2,4,0,,No strong administrative-activity warning detected.
C-33465,12.35,12.35,1,0,0,,No strong administrative-activity warning detected.
C-31282,12.35,12.35,1,2,0,,No strong administrative-activity warning detected.
C-32033,12.35,12.35,0,4,0,,No strong administrative-activity warning detected.
C-34137,12.35,12.35,1,4,0,,No strong administrative-activity warning detected.
C-31156,12.34,12.34,1,3,0,,No strong administrative-activity warning detected.
C-34087,12.34,12.34,2,3,0,,No strong administrative-activity warning detected.
C-31579,12.34,12.34,0,1,0,,No strong administrative-activity warning detected.
C-31782,12.34,12.34,1,4,0,,No strong administrative-activity warning detected.
C-33384,12.34,12.34,1,2,0,,No strong administrative-activity warning detected.
C-31805,12.34,12.34,0,2,0,,No strong administrative-activity warning detected.
C-33359,12.34,12.34,1,1,0,,No strong administrative-activity warning detected.
C-32063,12.33,12.33,3,2,0,,No strong administrative-activity warning detected.
C-31085,12.33,12.33,1,2,0,,No strong administrative-activity warning detected.
C-31197,12.33,12.33,0,1,0,,No strong administrative-activity warning detected.
C-30684,12.33,12.33,0,2,0,,No strong administrative-activity warning detected.
C-31987,12.33,12.33,1,3,0,,No strong administrative-activity warning detected.
C-32803,12.32,12.32,0,2,0,,No strong administrative-activity warning detected.
C-33773,12.32,12.32,1,5,0,,No strong administrative-activity warning detected.
C-31705,12.32,12.32,0,1,0,,No strong administrative-activity warning detected.
C-31199,12.32,12.32,0,2,0,,No strong administrative-activity warning detected.
C-33885,12.32,12.32,1,3,0,,No strong administrative-activity warning detected.
C-32987,12.32,12.32,1,2,0,,No strong administrative-activity warning detected.
C-32387,12.31,12.31,2,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32602,12.31,12.31,2,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32797,12.3,12.3,0,0,0,,No strong administrative-activity warning detected.
C-33857,12.3,12.3,0,2,0,,No strong administrative-activity warning detected.
C-30495,12.3,12.3,2,4,0,,No strong administrative-activity warning detected.
C-30631,12.3,12.3,0,2,0,,No strong administrative-activity warning detected.
C-33050,12.3,12.3,2,3,0,,No strong administrative-activity warning detected.
C-33260,12.29,12.29,3,2,0,,No strong administrative-activity warning detected.
C-33627,12.29,12.29,1,5,0,,No strong administrative-activity warning detected.
C-33173,12.29,12.29,0,4,0,,No strong administrative-activity warning detected.
C-30920,12.29,12.29,2,5,0,,No strong administrative-activity warning detected.
C-32715,12.29,12.29,1,3,0,,No strong administrative-activity warning detected.
C-34188,12.29,12.29,1,0,0,,No strong administrative-activity warning detected.
C-30323,12.29,12.29,1,0,0,,No strong administrative-activity warning detected.
C-33418,12.29,12.29,2,2,0,,No strong administrative-activity warning detected.
C-30604,12.29,12.29,1,4,0,,No strong administrative-activity warning detected.
C-31216,12.28,12.28,0,1,0,,No strong administrative-activity warning detected.
C-31653,12.28,12.28,0,1,0,,No strong administrative-activity warning detected.
C-33943,12.28,12.28,3,3,0,,No strong administrative-activity warning detected.
C-33261,12.28,12.28,0,2,0,,No strong administrative-activity warning detected.
C-31603,12.28,12.28,0,0,0,,No strong administrative-activity warning detected.
C-33709,12.28,12.28,0,2,0,,No strong administrative-activity warning detected.
C-31267,12.28,12.28,2,4,0,,No strong administrative-activity warning detected.
C-32708,12.28,12.28,3,4,0,,No strong administrative-activity warning detected.
C-31911,12.28,12.28,0,4,0,,No strong administrative-activity warning detected.
C-33506,12.28,12.28,1,2,0,,No strong administrative-activity warning detected.
C-31572,12.28,12.28,1,5,0,,No strong administrative-activity warning detected.
C-31106,12.28,12.28,3,4,0,,No strong administrative-activity warning detected.
C-32393,12.28,12.28,0,2,0,,No strong administrative-activity warning detected.
C-30036,12.28,12.28,2,1,0,,No strong administrative-activity warning detected.
C-30228,12.27,12.27,0,0,0,,No strong administrative-activity warning detected.
C-33118,12.27,12.27,0,3,0,,No strong administrative-activity warning detected.
C-33145,12.27,12.27,2,1,0,,No strong administrative-activity warning detected.
C-32771,12.27,12.27,0,4,0,,No strong administrative-activity warning detected.
C-30374,12.27,12.27,1,1,0,,No strong administrative-activity warning detected.
C-30260,12.27,12.27,0,5,0,,No strong administrative-activity warning detected.
C-33303,12.27,12.27,1,2,0,,No strong administrative-activity warning detected.
C-33536,12.27,12.27,0,1,0,,No strong administrative-activity warning detected.
C-32764,12.27,12.27,1,2,0,,No strong administrative-activity warning detected.
C-34079,12.26,12.26,1,0,0,,No strong administrative-activity warning detected.
C-31334,12.26,12.26,2,2,0,,No strong administrative-activity warning detected.
C-31422,12.26,12.26,0,2,0,,No strong administrative-activity warning detected.
C-30357,12.26,12.26,3,4,0,,No strong administrative-activity warning detected.
C-32474,12.26,12.26,0,1,0,,No strong administrative-activity warning detected.
C-33197,12.25,12.25,2,5,0,,No strong administrative-activity warning detected.
C-30543,12.25,12.25,1,2,0,,No strong administrative-activity warning detected.
C-33667,12.25,12.25,2,4,0,,No strong administrative-activity warning detected.
C-31614,12.25,12.25,1,2,0,,No strong administrative-activity warning detected.
C-32224,12.25,12.25,1,3,0,,No strong administrative-activity warning detected.
C-31994,12.25,12.25,0,1,0,,No strong administrative-activity warning detected.
C-33485,12.25,12.25,2,4,0,,No strong administrative-activity warning detected.
C-32823,12.25,12.25,1,2,0,,No strong administrative-activity warning detected.
C-30001,12.25,12.25,0,0,0,,No strong administrative-activity warning detected.
C-31518,12.24,12.24,1,3,0,,No strong administrative-activity warning detected.
C-30754,12.24,12.24,1,1,0,,No strong administrative-activity warning detected.
C-32501,12.24,12.24,2,1,0,,No strong administrative-activity warning detected.
C-34115,12.24,12.24,2,4,0,,No strong administrative-activity warning detected.
C-30135,12.24,12.24,2,1,0,,No strong administrative-activity warning detected.
C-32022,12.24,12.24,1,3,0,,No strong administrative-activity warning detected.
C-31204,12.24,12.24,0,1,0,,No strong administrative-activity warning detected.
C-30957,12.24,12.24,2,4,0,,No strong administrative-activity warning detected.
C-33088,12.24,12.24,0,0,0,,No strong administrative-activity warning detected.
C-32362,12.24,12.24,2,2,0,,No strong administrative-activity warning detected.
C-31540,12.24,12.24,2,3,0,,No strong administrative-activity warning detected.
C-32421,12.23,12.23,2,1,0,,No strong administrative-activity warning detected.
C-32596,12.23,12.23,5,6,1,5 payment adjustments and 6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30292,12.23,12.23,2,2,0,,No strong administrative-activity warning detected.
C-32298,12.23,12.23,0,2,0,,No strong administrative-activity warning detected.
C-33147,12.23,12.23,0,2,0,,No strong administrative-activity warning detected.
C-31599,12.23,12.23,0,3,0,,No strong administrative-activity warning detected.
C-32330,12.23,12.23,3,2,0,,No strong administrative-activity warning detected.
C-32017,12.22,12.22,0,1,0,,No strong administrative-activity warning detected.
C-33636,12.22,12.22,0,1,0,,No strong administrative-activity warning detected.
C-33043,12.22,12.22,1,3,0,,No strong administrative-activity warning detected.
C-30573,12.22,12.22,2,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30364,12.22,12.22,0,2,0,,No strong administrative-activity warning detected.
C-30428,12.22,12.22,0,2,0,,No strong administrative-activity warning detected.
C-31598,12.21,12.21,1,3,0,,No strong administrative-activity warning detected.
C-32548,12.21,12.21,1,1,0,,No strong administrative-activity warning detected.
C-32227,12.21,12.21,2,0,0,,No strong administrative-activity warning detected.
C-33320,12.21,12.21,0,2,0,,No strong administrative-activity warning detected.
C-32509,12.21,12.21,1,2,0,,No strong administrative-activity warning detected.
C-33332,12.21,12.21,0,2,0,,No strong administrative-activity warning detected.
C-31149,12.21,12.21,2,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31053,12.21,12.21,0,4,0,,No strong administrative-activity warning detected.
C-31266,12.21,12.21,0,3,0,,No strong administrative-activity warning detected.
C-33677,12.2,12.2,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33293,12.2,12.2,1,1,0,,No strong administrative-activity warning detected.
C-32533,12.2,12.2,0,2,0,,No strong administrative-activity warning detected.
C-32279,12.2,12.2,0,2,0,,No strong administrative-activity warning detected.
C-31390,12.2,12.2,1,2,0,,No strong administrative-activity warning detected.
C-33654,12.2,12.2,0,3,0,,No strong administrative-activity warning detected.
C-32036,12.2,12.2,1,5,0,,No strong administrative-activity warning detected.
C-33244,12.19,12.19,1,2,0,,No strong administrative-activity warning detected.
C-32845,12.19,12.19,1,5,0,,No strong administrative-activity warning detected.
C-32434,12.19,12.19,1,5,0,,No strong administrative-activity warning detected.
C-33220,12.18,12.18,2,4,0,,No strong administrative-activity warning detected.
C-33920,12.18,12.18,1,4,0,,No strong administrative-activity warning detected.
C-31004,12.18,12.18,0,2,0,,No strong administrative-activity warning detected.
C-30202,12.18,12.18,1,4,0,,No strong administrative-activity warning detected.
C-32110,12.18,12.18,5,3,1,5 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32119,12.18,12.18,0,0,0,,No strong administrative-activity warning detected.
C-32810,12.18,12.18,0,0,0,,No strong administrative-activity warning detected.
C-31975,12.18,12.18,3,0,0,,No strong administrative-activity warning detected.
C-30030,12.17,12.17,0,3,0,,No strong administrative-activity warning detected.
C-30321,12.17,12.17,1,1,0,,No strong administrative-activity warning detected.
C-33608,12.17,12.17,2,1,0,,No strong administrative-activity warning detected.
C-34011,12.17,12.17,1,3,0,,No strong administrative-activity warning detected.
C-31840,12.17,12.17,0,3,0,,No strong administrative-activity warning detected.
C-33678,12.17,12.17,0,3,0,,No strong administrative-activity warning detected.
C-31368,12.17,12.17,1,3,0,,No strong administrative-activity warning detected.
C-31501,12.16,12.16,2,0,0,,No strong administrative-activity warning detected.
C-32603,12.16,12.16,1,2,0,,No strong administrative-activity warning detected.
C-33432,12.16,12.16,3,2,0,,No strong administrative-activity warning detected.
C-32932,12.16,12.16,0,0,0,,No strong administrative-activity warning detected.
C-33111,12.16,12.16,1,1,0,,No strong administrative-activity warning detected.
C-32301,12.16,12.16,1,1,0,,No strong administrative-activity warning detected.
C-33246,12.16,12.16,1,1,0,,No strong administrative-activity warning detected.
C-32859,12.16,12.16,0,0,0,,No strong administrative-activity warning detected.
C-32616,12.15,12.15,0,2,0,,No strong administrative-activity warning detected.
C-32848,12.15,12.15,2,3,0,,No strong administrative-activity warning detected.
C-32925,12.15,12.15,1,4,0,,No strong administrative-activity warning detected.
C-30821,12.15,12.15,0,0,0,,No strong administrative-activity warning detected.
C-33626,12.15,12.15,2,1,0,,No strong administrative-activity warning detected.
C-34089,12.15,12.15,1,3,0,,No strong administrative-activity warning detected.
C-33192,12.15,12.15,0,1,0,,No strong administrative-activity warning detected.
C-30456,12.15,12.15,0,2,0,,No strong administrative-activity warning detected.
C-30153,12.15,12.15,0,4,0,,No strong administrative-activity warning detected.
C-33714,12.14,12.14,1,0,0,,No strong administrative-activity warning detected.
C-33459,12.14,12.14,4,4,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31493,12.14,12.14,2,0,0,,No strong administrative-activity warning detected.
C-33686,12.14,12.14,1,1,0,,No strong administrative-activity warning detected.
C-31279,12.14,12.14,3,3,0,,No strong administrative-activity warning detected.
C-30496,12.14,12.14,2,1,0,,No strong administrative-activity warning detected.
C-34024,12.14,12.14,1,2,0,,No strong administrative-activity warning detected.
C-30606,12.14,12.14,0,1,0,,No strong administrative-activity warning detected.
C-30853,12.14,12.14,1,1,0,,No strong administrative-activity warning detected.
C-33417,12.13,12.13,0,1,0,,No strong administrative-activity warning detected.
C-34162,12.13,12.13,0,5,0,,No strong administrative-activity warning detected.
C-34158,12.13,12.13,2,2,0,,No strong administrative-activity warning detected.
C-33075,12.13,12.13,1,5,0,,No strong administrative-activity warning detected.
C-30140,12.12,12.12,0,0,0,,No strong administrative-activity warning detected.
C-34046,12.12,12.12,1,0,0,,No strong administrative-activity warning detected.
C-33152,12.12,12.12,2,1,0,,No strong administrative-activity warning detected.
C-31854,12.12,12.12,0,3,0,,No strong administrative-activity warning detected.
C-33968,12.12,12.12,0,1,0,,No strong administrative-activity warning detected.
C-31500,12.11,12.11,0,4,0,,No strong administrative-activity warning detected.
C-30718,12.11,12.11,1,0,0,,No strong administrative-activity warning detected.
C-33381,12.11,12.11,1,3,0,,No strong administrative-activity warning detected.
C-31425,12.11,12.11,0,1,0,,No strong administrative-activity warning detected.
C-31352,12.11,12.11,1,4,0,,No strong administrative-activity warning detected.
C-33183,12.11,12.11,0,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32777,12.11,12.11,0,2,0,,No strong administrative-activity warning detected.
C-33287,12.11,12.11,3,3,0,,No strong administrative-activity warning detected.
C-31135,12.11,12.11,0,1,0,,No strong administrative-activity warning detected.
C-32767,12.1,12.1,2,3,0,,No strong administrative-activity warning detected.
C-33902,12.1,12.1,1,1,0,,No strong administrative-activity warning detected.
C-32701,12.1,12.1,0,1,0,,No strong administrative-activity warning detected.
C-33010,12.1,12.1,0,1,0,,No strong administrative-activity warning detected.
C-33760,12.1,12.1,2,0,0,,No strong administrative-activity warning detected.
C-31984,12.1,12.1,3,1,0,,No strong administrative-activity warning detected.
C-30024,12.1,12.1,1,3,0,,No strong administrative-activity warning detected.
C-33588,12.09,12.09,2,5,0,,No strong administrative-activity warning detected.
C-33559,12.09,12.09,0,1,0,,No strong administrative-activity warning detected.
C-32947,12.09,12.09,1,4,0,,No strong administrative-activity warning detected.
C-31141,12.09,12.09,2,5,0,,No strong administrative-activity warning detected.
C-30779,12.09,12.09,3,4,0,,No strong administrative-activity warning detected.
C-33831,12.09,12.09,0,2,0,,No strong administrative-activity warning detected.
C-32666,12.09,12.09,3,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31328,12.09,12.09,1,3,0,,No strong administrative-activity warning detected.
C-32217,12.09,12.09,1,0,0,,No strong administrative-activity warning detected.
C-30478,12.09,12.09,0,1,0,,No strong administrative-activity warning detected.
C-32890,12.08,12.08,0,2,0,,No strong administrative-activity warning detected.
C-32004,12.08,12.08,2,2,0,,No strong administrative-activity warning detected.
C-30617,12.08,12.08,2,3,0,,No strong administrative-activity warning detected.
C-32025,12.08,12.08,2,2,0,,No strong administrative-activity warning detected.
C-31392,12.08,12.08,1,2,0,,No strong administrative-activity warning detected.
C-34125,12.08,12.08,0,2,0,,No strong administrative-activity warning detected.
C-30840,12.08,12.08,1,2,0,,No strong administrative-activity warning detected.
C-30057,12.08,12.08,1,1,0,,No strong administrative-activity warning detected.
C-31389,12.08,12.08,0,2,0,,No strong administrative-activity warning detected.
C-34019,12.07,12.07,1,1,0,,No strong administrative-activity warning detected.
C-30624,12.07,12.07,0,0,0,,No strong administrative-activity warning detected.
C-30875,12.07,12.07,0,0,0,,No strong administrative-activity warning detected.
C-31514,12.07,12.07,0,2,0,,No strong administrative-activity warning detected.
C-32378,12.07,12.07,1,3,0,,No strong administrative-activity warning detected.
C-34001,12.07,12.07,0,3,0,,No strong administrative-activity warning detected.
C-33524,12.07,12.07,3,5,0,,No strong administrative-activity warning detected.
C-33144,12.07,12.07,0,2,0,,No strong administrative-activity warning detected.
C-32700,12.07,12.07,1,4,0,,No strong administrative-activity warning detected.
C-32828,12.07,12.07,1,0,0,,No strong administrative-activity warning detected.
C-33807,12.06,12.06,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32921,12.06,12.06,0,3,0,,No strong administrative-activity warning detected.
C-33247,12.06,12.06,2,1,0,,No strong administrative-activity warning detected.
C-31757,12.06,12.06,1,1,0,,No strong administrative-activity warning detected.
C-30784,12.06,12.06,0,3,0,,No strong administrative-activity warning detected.
C-31410,12.06,12.06,0,0,0,,No strong administrative-activity warning detected.
C-31820,12.06,12.06,0,3,0,,No strong administrative-activity warning detected.
C-31723,12.06,12.06,0,1,0,,No strong administrative-activity warning detected.
C-33827,12.05,12.05,1,1,0,,No strong administrative-activity warning detected.
C-33965,12.05,12.05,0,4,0,,No strong administrative-activity warning detected.
C-33949,12.05,12.05,0,4,0,,No strong administrative-activity warning detected.
C-31836,12.04,12.04,2,2,0,,No strong administrative-activity warning detected.
C-33013,12.04,12.04,1,1,0,,No strong administrative-activity warning detected.
C-33077,12.04,12.04,4,1,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31482,12.04,12.04,0,1,0,,No strong administrative-activity warning detected.
C-31205,12.04,12.04,1,3,0,,No strong administrative-activity warning detected.
C-31382,12.04,12.04,3,1,0,,No strong administrative-activity warning detected.
C-31682,12.04,12.04,2,5,0,,No strong administrative-activity warning detected.
C-32293,12.04,12.04,1,4,0,,No strong administrative-activity warning detected.
C-30422,12.04,12.04,3,5,0,,No strong administrative-activity warning detected.
C-32212,12.04,12.04,2,3,0,,No strong administrative-activity warning detected.
C-33188,12.04,12.04,0,1,0,,No strong administrative-activity warning detected.
C-30655,12.03,12.03,0,2,0,,No strong administrative-activity warning detected.
C-33014,12.03,12.03,0,1,0,,No strong administrative-activity warning detected.
C-32426,12.03,12.03,1,5,0,,No strong administrative-activity warning detected.
C-33796,12.03,12.03,0,2,0,,No strong administrative-activity warning detected.
C-33576,12.03,12.03,1,4,0,,No strong administrative-activity warning detected.
C-32877,12.03,12.03,1,2,0,,No strong administrative-activity warning detected.
C-31831,12.03,12.03,2,3,0,,No strong administrative-activity warning detected.
C-33110,12.03,12.03,3,4,0,,No strong administrative-activity warning detected.
C-32527,12.03,12.03,4,6,1,4 payment adjustments and 6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31225,12.03,12.03,1,2,0,,No strong administrative-activity warning detected.
C-30230,12.03,12.03,0,1,0,,No strong administrative-activity warning detected.
C-33127,12.03,12.03,1,4,0,,No strong administrative-activity warning detected.
C-32223,12.03,12.03,1,2,0,,No strong administrative-activity warning detected.
C-30350,12.02,12.02,2,5,0,,No strong administrative-activity warning detected.
C-33003,12.02,12.02,3,4,0,,No strong administrative-activity warning detected.
C-30898,12.02,12.02,3,1,0,,No strong administrative-activity warning detected.
C-30603,12.02,12.02,1,3,0,,No strong administrative-activity warning detected.
C-30413,12.02,12.02,1,0,0,,No strong administrative-activity warning detected.
C-30070,12.02,12.02,1,3,0,,No strong administrative-activity warning detected.
C-34165,12.02,12.02,0,1,0,,No strong administrative-activity warning detected.
C-31046,12.02,12.02,2,4,0,,No strong administrative-activity warning detected.
C-33125,12.01,12.01,0,3,0,,No strong administrative-activity warning detected.
C-33193,12.01,12.01,1,0,0,,No strong administrative-activity warning detected.
C-30947,12.01,12.01,0,3,0,,No strong administrative-activity warning detected.
C-30905,12.01,12.01,0,2,0,,No strong administrative-activity warning detected.
C-31142,12.01,12.01,1,1,0,,No strong administrative-activity warning detected.
C-30696,12.01,12.01,2,3,0,,No strong administrative-activity warning detected.
C-31364,12.0,12.0,0,4,0,,No strong administrative-activity warning detected.
C-31300,12.0,12.0,2,4,0,,No strong administrative-activity warning detected.
C-32122,12.0,12.0,1,3,0,,No strong administrative-activity warning detected.
C-31015,12.0,12.0,1,2,0,,No strong administrative-activity warning detected.
C-32123,12.0,12.0,1,4,0,,No strong administrative-activity warning detected.
C-30491,12.0,12.0,1,1,0,,No strong administrative-activity warning detected.
C-30762,12.0,12.0,1,4,0,,No strong administrative-activity warning detected.
C-31159,12.0,12.0,0,3,0,,No strong administrative-activity warning detected.
C-31616,12.0,12.0,2,4,0,,No strong administrative-activity warning detected.
C-31268,11.99,11.99,1,3,0,,No strong administrative-activity warning detected.
C-32728,11.99,11.99,0,3,0,,No strong administrative-activity warning detected.
C-31238,11.99,11.99,0,1,0,,No strong administrative-activity warning detected.
C-32568,11.99,11.99,2,3,0,,No strong administrative-activity warning detected.
C-33557,11.99,11.99,1,0,0,,No strong administrative-activity warning detected.
C-33820,11.99,11.99,0,4,0,,No strong administrative-activity warning detected.
C-31721,11.99,11.99,2,0,0,,No strong administrative-activity warning detected.
C-33338,11.99,11.99,0,2,0,,No strong administrative-activity warning detected.
C-30149,11.98,11.98,1,3,0,,No strong administrative-activity warning detected.
C-32237,11.98,11.98,0,0,0,,No strong administrative-activity warning detected.
C-32215,11.98,11.98,2,1,0,,No strong administrative-activity warning detected.
C-33504,11.98,11.98,1,2,0,,No strong administrative-activity warning detected.
C-34047,11.98,11.98,2,5,0,,No strong administrative-activity warning detected.
C-33425,11.98,11.98,0,0,0,,No strong administrative-activity warning detected.
C-30394,11.98,11.98,2,0,0,,No strong administrative-activity warning detected.
C-32457,11.98,11.98,3,5,0,,No strong administrative-activity warning detected.
C-33396,11.98,11.98,3,0,0,,No strong administrative-activity warning detected.
C-32170,11.97,11.97,2,1,0,,No strong administrative-activity warning detected.
C-30399,11.97,11.97,3,0,0,,No strong administrative-activity warning detected.
C-33938,11.97,11.97,0,1,0,,No strong administrative-activity warning detected.
C-34039,11.97,11.97,1,1,0,,No strong administrative-activity warning detected.
C-33670,11.97,11.97,1,5,0,,No strong administrative-activity warning detected.
C-34131,11.97,11.97,0,1,0,,No strong administrative-activity warning detected.
C-30009,11.97,11.97,2,2,0,,No strong administrative-activity warning detected.
C-31374,11.97,11.97,2,0,0,,No strong administrative-activity warning detected.
C-33489,11.97,11.97,2,2,0,,No strong administrative-activity warning detected.
C-31726,11.97,11.97,0,2,0,,No strong administrative-activity warning detected.
C-33056,11.97,11.97,0,5,0,,No strong administrative-activity warning detected.
C-30959,11.96,11.96,0,3,0,,No strong administrative-activity warning detected.
C-34130,11.96,11.96,1,3,0,,No strong administrative-activity warning detected.
C-32852,11.96,11.96,1,4,0,,No strong administrative-activity warning detected.
C-30103,11.96,11.96,1,2,0,,No strong administrative-activity warning detected.
C-30377,11.96,11.96,0,1,0,,No strong administrative-activity warning detected.
C-33762,11.96,11.96,2,4,0,,No strong administrative-activity warning detected.
C-33484,11.96,11.96,0,1,0,,No strong administrative-activity warning detected.
C-33625,11.96,11.96,0,3,0,,No strong administrative-activity warning detected.
C-32577,11.95,11.95,1,1,0,,No strong administrative-activity warning detected.
C-32842,11.95,11.95,0,3,0,,No strong administrative-activity warning detected.
C-32968,11.95,11.95,1,1,0,,No strong administrative-activity warning detected.
C-30264,11.95,11.95,0,1,0,,No strong administrative-activity warning detected.
C-31145,11.95,11.95,1,3,0,,No strong administrative-activity warning detected.
C-30105,11.94,11.94,2,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32518,11.94,11.94,1,0,0,,No strong administrative-activity warning detected.
C-33511,11.94,11.94,0,0,0,,No strong administrative-activity warning detected.
C-31627,11.94,11.94,1,3,0,,No strong administrative-activity warning detected.
C-31284,11.94,11.94,1,2,0,,No strong administrative-activity warning detected.
C-33034,11.94,11.94,0,2,0,,No strong administrative-activity warning detected.
C-33921,11.94,11.94,2,1,0,,No strong administrative-activity warning detected.
C-33671,11.94,11.94,0,4,0,,No strong administrative-activity warning detected.
C-32725,11.93,11.93,0,1,0,,No strong administrative-activity warning detected.
C-33180,11.93,11.93,0,3,0,,No strong administrative-activity warning detected.
C-33206,11.93,11.93,2,1,0,,No strong administrative-activity warning detected.
C-30579,11.93,11.93,1,1,0,,No strong administrative-activity warning detected.
C-31862,11.93,11.93,0,0,0,,No strong administrative-activity warning detected.
C-31110,11.93,11.93,2,4,0,,No strong administrative-activity warning detected.
C-30470,11.93,11.93,1,2,0,,No strong administrative-activity warning detected.
C-31202,11.93,11.93,1,0,0,,No strong administrative-activity warning detected.
C-33026,11.93,11.93,2,1,0,,No strong administrative-activity warning detected.
C-34004,11.92,11.92,1,3,0,,No strong administrative-activity warning detected.
C-30833,11.92,11.92,2,3,0,,No strong administrative-activity warning detected.
C-31630,11.92,11.92,3,5,0,,No strong administrative-activity warning detected.
C-30466,11.92,11.92,0,2,0,,No strong administrative-activity warning detected.
C-30334,11.92,11.92,1,2,0,,No strong administrative-activity warning detected.
C-32904,11.92,11.92,0,3,0,,No strong administrative-activity warning detected.
C-33517,11.92,11.92,1,3,0,,No strong administrative-activity warning detected.
C-31189,11.92,11.92,0,1,0,,No strong administrative-activity warning detected.
C-30910,11.91,11.91,1,0,0,,No strong administrative-activity warning detected.
C-32257,11.91,11.91,1,2,0,,No strong administrative-activity warning detected.
C-30660,11.91,11.91,1,3,0,,No strong administrative-activity warning detected.
C-32490,11.9,11.9,1,3,0,,No strong administrative-activity warning detected.
C-32915,11.9,11.9,2,1,0,,No strong administrative-activity warning detected.
C-30368,11.9,11.9,0,2,0,,No strong administrative-activity warning detected.
C-32582,11.9,11.9,1,2,0,,No strong administrative-activity warning detected.
C-33751,11.9,11.9,1,1,0,,No strong administrative-activity warning detected.
C-33093,11.9,11.9,1,0,0,,No strong administrative-activity warning detected.
C-34000,11.9,11.9,1,2,0,,No strong administrative-activity warning detected.
C-31555,11.9,11.9,0,0,0,,No strong administrative-activity warning detected.
C-31551,11.89,11.89,2,3,0,,No strong administrative-activity warning detected.
C-30361,11.89,11.89,1,4,0,,No strong administrative-activity warning detected.
C-30025,11.89,11.89,0,3,0,,No strong administrative-activity warning detected.
C-33330,11.89,11.89,0,0,0,,No strong administrative-activity warning detected.
C-32209,11.89,11.89,0,0,0,,No strong administrative-activity warning detected.
C-32452,11.88,11.88,1,0,0,,No strong administrative-activity warning detected.
C-33776,11.88,11.88,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31062,11.88,11.88,0,0,0,,No strong administrative-activity warning detected.
